id,catalogue_code,species_id,rec_number,site_name,audiohqid,audiolqid,sonogramvideoid,caption,created_at
650e8400-e29b-41d4-a716-446655440001,110930.AB.001103.01,550e8400-e29b-41d4-a716-446655440001,1,"Kennemerduinen, Bloemendaal, Netherlands",0001,0001,0001,"Soliciting calls of a female and compound hooting of a male.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440002,241113.KM.060000.12,550e8400-e29b-41d4-a716-446655440002,2,"Murrintown, Wexford, Ireland",0002,0002,0002,"Tu-whit, tu-whoo call, a variation of a poorly known call primarily used outside the breeding season. Also, some bill-snapping.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440003,01.043.MR.01819.01,550e8400-e29b-41d4-a716-446655440003,3,"IJmuiden, Noord-Holland, Netherlands",0003,0003,0003,"Calls of an autumn migrant. Background: Lesser Black-backed Gull Larus fuscus, European Robin Erithacus rubecula, Fieldfare Turdus pilaris and Eurasian Magpie Pica pica.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440004,02.042.MR.12628.02,550e8400-e29b-41d4-a716-446655440004,4,"IJmuiden, Noord-Holland, Netherlands",0004,0004,0004,"Two autumn migrants, one near and one far, calling to each other from a distance. Background: Common Chiffchaff Phylloscopus collybita, Eurasian Blue Tit Cyanistes caeruleus and Eurasian Magpie Pica pica.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440005,04.001.KM.15555.32,550e8400-e29b-41d4-a716-446655440005,5,"Our Lady's Island Lake, Wexford, Ireland",0005,0005,0005,"Calls on taking off. Background: Dunlin Calidris alpina and Common Tern Sterna hirundo.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440006,04.001.MR.02610.01,550e8400-e29b-41d4-a716-446655440006,6,"Veerse Meer, Zeeland, Netherlands",0006,0006,0006,"Multiple-note calls on taking off, then single note keek calls in flight. Background: Eurasian Wigeon Mareca penelope, Eurasian Oystercatcher Haematopus ostralegus, Common Redshank Tringa totanus and distant tractor.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440007,04.026.MR.10030.11,550e8400-e29b-41d4-a716-446655440007,7,"Lena delta, Yakutia, Russia",0007,0007,0007,"Typical calls of an adult in flight over its tundra breeding territory, recorded at close range. Background: another Grey Plover singing.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440008,,550e8400-e29b-41d4-a716-446655440008,8,"Lissagriffin, Cork, Ireland",0008,0008,0008,"Nocturnal flight calls of at least two individuals. Background: Redwing Turdus iliacus.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440009,01.008.KM.05430.01,550e8400-e29b-41d4-a716-446655440009,9,"Tacumshin, Wexford, Ireland",0009,0009,0009,"Flight calls of a first-summer, the easier type of flight call to identify. Background: Common Ringed Plover Charadrius hiaticula, Northern Lapwing Vanellus vanellus, Meadow Pipit Anthus pratensis and Common Reed Bunting Emberiza schoeniclus.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440010,130323.MR.170914.02,550e8400-e29b-41d4-a716-446655440010,10,"Sohar, Al Batinah, Oman",0010,0010,0010,"Flight calls of a wintering bird passing at close range. Background: Crested Lark Galerida cristata and Delicate Prinia Prinia lepida.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440011,03.027.AB.14611.01,550e8400-e29b-41d4-a716-446655440011,11,"Frank Lake, Alberta, Canada",0011,0011,0011,"Song of a male. Background: Killdeer Charadrius vociferus, California Gull Larus californicus and Savannah Sparrow Passerculus sandwichensis.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440012,07.010.MC.05600.02,550e8400-e29b-41d4-a716-446655440012,12,"Skala Kalloni, Lesvos, Greece",0012,0012,0012,"Song of a male. Background: Crested Lark Galerida cristata, Greater Short-toed Lark Calandrella brachydactyla, Black-headed Wagtail Motacilla feldegg and Corn Bunting Emberiza calandra.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440013,081006.MR.104706.11,550e8400-e29b-41d4-a716-446655440013,13,"Durlston, Dorset, England",0013,0013,0013,"Flight calls of a migrating individual. Background: European Robin Erithacus rubecula.",2024-01-01T00:00:00Z
650e8400-e29b-41d4-a716-446655440014,100128.MR.070530.01,550e8400-e29b-41d4-a716-446655440014,14,"Betancuria, south of El Cotillo, Fuerteventura, Canary Islands",0014,0014,0014,"Booming of displaying male with a dominant frequency of 107 Hz. Background: Berthelot's Pipit Anthus berthelotii and Mediterranean Short-toed Lark Alaudala rufescens.",2024-01-01T00:00:00Z
